RMA No.,Name,Email Address,Status,Product Code,Description,Quantity,Date Code,Reason For Returning,Detailed Problem Description,Warranty Status,Warranty Status Remarks,Findings,Findings Remarks,Resolution,Resolution Remarks,Transfer to Warehouse
2502009,Grainger,SRC_Supplierops@grainger.com,Issued RMA,SK-910RD1,"1-channel RF Receiver, 315/433.92 MHz",10,,"New, do not need","New, unused, no longer needed.",,,,,,,
2502010,DISCOUNT ACCESS DISTRIBUTORS,accounting@discount-access.com,Completed,SA-027HQ,"ANNUAL TIMER, 2 CH, TOGGLE, CASE, REMOVABLE TERMINALS",1,01402377,Defective,JUST BOUGHT BOTH RELAYS WILLN'T CLOSE,UNDER WARRANTY,09A24,Tested to be working,Relay and continuity turn on and off on schedule.,Replace,move to w01,W90
2502011,The Systems Depot,jessica.walling@sdepot.com,Completed,SA-027HQ,"ANNUAL TIMER, 2 CH, TOGGLE, CASE, REMOVABLE TERMINALS",1,01390051,Defective,will not power up,UNDER WARRANTY,12A23,Defective,Draws 0 current. Does not turn on.,Replace,,W92
2502012,Security Equipment Supply,rhearn@sesonline.com,Completed,SK-B141-PQ,Bluetooth Single-Gang Keypad with Reader,1,07a23,Defective,"I also just read their note that the trouble was with the installation.  I can assure you it was not.  I need you to resubmit a RMA on this.  There is something wrong with the part, it worked fine for the 10 months it was installed.  How can our installation be the cause 10 months down the road?   We tested the wire and power supply before installing the replacement, which was installed the exact same way and is back to working as it should.  If this is the way SecoLarm handles returns it will be the last part I ever buy from them.

Resubmit from request 1149 with more information from customer. NOT an installation issue, item was installed and working for 10 months before failing.",OUT OF WARRANTY,07A23,Defective,"Doesnt turn on, installer error unit is fried.",Replace,,W92
2502013,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-994A-A1AQ,"AC DOOR STRIKE, ASYMMETRICAL, 9~16VAC, 12VDC",1,06A24,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-994A-A1AQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502013,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-C101-SGQ,"Door Closer, ANSI Size 1-6, Grade 1.",1,10A21,Defective,"Good morning,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-994A-A1AQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502013,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931CS22RRCQ,"ENTRY ALERT SYSTEM, CHIME, 22",1,07A21,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931CS22RRCQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502013,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-1323-SPQ,VANDAL KEYPAD WITH PROX,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-1323-SPQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502013,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-991A-D1Q,Mini No-Cut Electric Door Strike,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-991A-D1Q.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502014,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-1323-SPQ,VANDAL KEYPAD WITH PROX,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-1323-SPQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502014,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-941DA-1K2Q,"1,200lb Double-Door Maglock",1,08A24,Defective,"Good afternoon,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-941DA-1K2Q.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502014,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,DP-266-M7Q,"Additional 7"""""""" Monitor for DP-266-1C7Q",1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit DP-266-M7Q.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502014,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-962H-8LAQ,Mechanical Keypad Door Lock,1,10A22,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-962H-8LAQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502014,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-B241-PQ,Bluetooth Mullion Keypad with Reader,1,04A22,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-B241-PQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502015,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931-S35RRQ,"NIR PHOTOBEAM, REFLECTIVE, 35",1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931-S35RRQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502015,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-7202GC-PTQ,SD-7202GC-PE WITH TIMER,1,7A24,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-7202GC-PTQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502015,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-942F-1300/L,L-BRACKETS FOR E-942C-1300,1,,Defective,"Good afternoon,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E942F1300ZQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502015,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-995C,"ELEC. STRIKE, METAL DR. NO/NC",1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-995C.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502015,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-1323-SPQ,VANDAL KEYPAD WITH PROX,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-1323-SPQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502016,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,PR-2121-PQ,Mini Wiegand Proximity Reader,1,12A19,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit PR-2121-PQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502016,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,DH-171SQ,"MAGNETIC DOOR HOLDER, FLUSH MOUNT, UL",1,04A24,Defective,"Good afternoon,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit DH-171SQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502016,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SA-026Q,"TIMER MODULE, MINI",1,01A24,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SA-026Q.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502016,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-1323-SPQ,VANDAL KEYPAD WITH PROX,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-1323-SPQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502016,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931-S35RRQ,"NIR PHOTOBEAM, REFLECTIVE, 35",1,01A11,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931-S35RRQ.

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502017,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-1011-SDQ,"INDOOR STAND-ALONE KEYPAD, 1000 USERS, 1 OUTPUT, CLOCK, VISITOR CODES , SMART/DELAYED EGRESS",1,09A21,Defective,"Good morning,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-1011-SDQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502017,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SK-2323-SDQ,MULLION KEYPAD WITHOUT PROX,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SK-2323-SDQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502017,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SM-4601-LQ,"N.C. Magnetic contact, industrial wide-gap with leads, aluminum",1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SM-4601-LQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502017,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931-S35RRQ,"NIR PHOTOBEAM, REFLECTIVE, 35",1,01A22,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931-S35RRQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502017,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931CS22RRCQ,"ENTRY ALERT SYSTEM, CHIME, 22",1,04A24,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931CS22RRCQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502018,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-961A-36,PUSH-TO-EXIT BAR FOR 36IN DOOR,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-961A-36

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502018,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-961A-36,PUSH-TO-EXIT BAR FOR 36IN DOOR,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-961A-36

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502018,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,E-931-S50RRGQ,"50FT REFLECTIVE PHOTOBEAM SENSOR, ETL UL325",1,,Defective,"Good morning,

The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit E-931-S50RRGQ

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502018,EOS Trading Corp,rma.vendors@eostrading.com,Issued RMA,SD-961A-36,PUSH-TO-EXIT BAR FOR 36IN DOOR,1,,Defective,"The following item has been returned to our warehouse from our customer as defective. We don’t have more details about the problem with the unit because customer returned the unit as defective and we don’t have anyone with expertise to test this unit.

Can you please provide RMA to inspect the unit and provide credit / repair or replacement unit to us.

Item: 1 unit SD-961A-36

Thank you in advance for your help.

Best Regards,

Kamel Dallal
Logistics Associate

Eos Trading Corp. (dba Sale Stores)
3910 Pembroke Road
Pembroke Park, FL 33021, USA
T 305-652-0442 - F 305-675-6412
Email: kamel.dallal@eostrading.com",,,,,,,
2502019,Pam Distributing,purchasing@pamdist.com,Issued RMA,SD-998C-D3AQ,"1/2"""""""" Surface-Mount RIM Strike",1,,Defective,Bottom latch malfunctioning,,,,,,,
2502019,Pam Distributing,purchasing@pamdist.com,Issued RMA,PC-U1820-PULQ,"CCTV Power Supply 18 Output, 20A",1,,Defective,Measured 33 VDC output after customer noticed smoke and it burned up several cameras.,,,,,,,
2502020,Summit Fire & Security,Rlozano1@summitfiresecurity.com,Issued RMA,SK-B141-PQ,Bluetooth Single-Gang Keypad with Reader,3,,Defective,"UNIT ONE NO RELAY FUCTION N/O OR N/C
UNIT TWO DOES NOT POWER UP
UNIT THREE DOES NOT POWER UP",,,,,,,
2502021,BROOKLYN SUPPLY,raizy@blvs.com,Completed,E-941SA-600,600lb Maglock,1,,Defective,Magnet not catching the metal piece.,UNDER WARRANTY,,Tested to be working,Works; ask for details,Replace,We will replace this one time. In the future we will return.,W90
2502022,Seaside Charter,dbrown@seasidecharter.org,Completed,SK-B241-PQ,Bluetooth Mullion Keypad with Reader,1,?,Defective,FOB READER IS INOP,UNDER WARRANTY,No date code,Defective,Prox does not work and stays on searching,Replace,,W92
2502023,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SD-9263-KSVQ,"Outdoor No Touch Sensor, Single Gang, English Override",1,,Defective,Doesn't work,OUT OF WARRANTY,10A23,Tested to be working,"Unit works, relay works
Please provide more details.",Replace,,W90
2502024,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SK-2323-SDQ,MULLION KEYPAD WITHOUT PROX,1,,Defective,Cannot program,UNDER WARRANTY,07A24,Tested to be working,"Unit was able to program codes, and relay works.
Please provide more information",Replace,,W90
2502024,BROOKLYN SUPPLY,raizy@blvs.com,Completed,SD-7202GC-PTQ,SD-7202GC-PE WITH TIMER,1,,Defective,Doesn't work,OUT OF WARRANTY,08A23,Defective,Relay on timer board always active,Replace,,W92
2502025,Gary Kummer,garykummer1@gmail.com,Completed,SK-910RB2Q,2 CHRX S/M RL O/P 315 CODEBUM,1,Amazon Order Rec'd 10/22/24,Defective,"Complete loss of range.  Check for interference.  No issue there. 
 Changed battery in transmitter did not help.",UNDER WARRANTY,03A23,Tested to be working,Unit works. Tested it at 30m and still was able to pick up signal.,Return,"our transmitter was working fine, what range did you get?",W90
2502026,ADVANCED ACCESS PRODUCTS,jons@advanced-access.com,Completed,EAP-5D5Q,"Access Control Power Supply, 5.0A @12VDC, 5 O/P",1,08A24,Defective,Will not power up,UNDER WARRANTY,07A24,Defective,Does not power up,Repair,Try to replace the board.,W92
2502027,Bees Keys,Rick@beeskeys.com,Issued RMA,SK-2323-SPQ,MULLION KEYPAD WITH PROX,1,2023,Defective,No sound and I can't change the programing code,,,,,,,
2502028,Audio Dynamics,paulina@audiodynamicsinc.com,Completed,E-931-S50RRGQ,"50FT REFLECTIVE PHOTOBEAM SENSOR, ETL UL325",1,,Defective,Not turning on,OUT OF WARRANTY,,Tested to be working,Tested to be working w90,Return,Okay to return,W90
2502029,Rio Vista Park,michaelrbyrd@yahoo.com,Completed,PR-B1124-PQ,Bluetooth Single-Gang Keypad,1,02 JULY 2024,Defective,"After working well for 7 months this Access Controller has just stopped working. After troubleshooting and confirming the power to the unit is good, it just doesn't work. No lights come on and it behaves like as if it has no power. However, it does indeed have  good power.",OUT OF WARRANTY,09A22,Defective,Unit wont power on,Replace,,W92
2502030,"Mundo Alarm Supplies, Inc.",roberto.cabrera@mundoalarm.com,Completed,SK-910RBQ,1 CHRX S/M RL O/P 315 CODEBUM,1,10a23,Defective,does not make contact in the normally open,OUT OF WARRANTY,10A23,Defective,No continuity on NO,Replace,replace,W92
2502030,"Mundo Alarm Supplies, Inc.",roberto.cabrera@mundoalarm.com,Completed,SK-910RD1,"1-channel RF Receiver, 315/433.92 MHz",1,03A24,Defective,Screw on the normally open terminal does not tighten,UNDER WARRANTY,03A24,Defective,N.O screw broken,Replace,replace,W92
